tweet,sentiment,sentiment_score,theme,theme_score,urgence,urgence_score,confiance,tweet_id,reponse_free
"le service proximité de 1 des plus grosses arnaques de ces dernières années.incompétents et complètement dépassés.tu en sais plus qu eux,tu leur dis ce qui marche pas,tu prends un rdv avec un technicien qui vient que ds 1 semaine! npratique pr le télétravail! nplus de reponse",negatif,0.95,processus_sav,0.9,2,0.95,0.9324,1813579520819286432,Nous sommes désolés de l'expérience que vous avez vécue. Nous vous proposons de contacter notre service clientèle via le numéro 3244 pour discuter de votre contestation de facture. Merci de nous fournir les dates et montants concernés. Nous sommes là pour vous aider.
"comment vous joindre ? j ai été débité pour non restitution de matériel pour une résiliation de ligne que je n ai pas effectuée moi même, impossible de vous joindre car mes identifiants n existent plus, vos relances sont arrivées directement.",negatif,0.95,Facturation / Paiement,0.9,2,0.95,0.9324,1813581407668871481,Nous sommes désolés pour votre incommodité. Nous vous invitons à contacter notre service client via le numéro 3244 pour discuter de votre facture. Nous serons heureux de vous aider.
ma fibre hs depuis 3 semaines,negatif,0.95,Fibre,0.95,2,0.95,0.9491,1813586665371513000,Nous sommes désolés pour votre inconvénient avec votre débit de fibre. Nous allons vérifier la situation et vous répondre par DM pour vous aider à résoudre le problème. Veuillez nous fournir vos informations de contact.
vous pouvez m envoyer les avengers de la fibre svp les mêmes que j ai chez ça fait 1mois que j attend,negatif,0.9,Fibre,0.95,2,0.9,0.9158,1813586931986698575,Nous sommes désolés de l'expérience que vous avez vécue avec votre débit Internet. Nous allons vérifier votre ligne pour vous proposer une solution. Veuillez nous contacter par DM avec votre numéro de ligne pour accélérer le traitement de votre demande. Merci d'avance.
"bon je travaille en remote chez moi et ça fait 1 semaine que j ai plus de connexion avec , ils ont envoyé un technicien qui a dit on vous envoie un autres tech et depuis plus de nouvelles, de base je kiff free, le boss etc etc mais la ,,,.",negatif,0.9,processus_sav,0.9,2,0.95,0.9158,1813604838682325386,Nous sommes désolés de l'inconvenient que vous rencontrez. Nous vous remercions de nous en informer. Nous vous invitons à nous contacter par DM pour vous aider à résoudre votre problème.
il va falloir revoir la sélection des installateurs de fibre optique !!! j ai pas commandé un fil pour étendre mon linge le voisin non plus ! donc va falloir revenir !!!,negatif,0.95,Fibre,0.95,1,0.7,0.8658,1813625655374098443,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par DM pour enquêter sur votre problème de fibre. Nous nous efforcerons de vous fournir une solution le plus rapidement possible.
pourquoi j ai des bugs de connexion wsh je paye la fibre,negatif,0.95,Fibre,0.9,1,0.7,0.8491,1813684903856468282,Nous sommes désolés de l'expérience que vous avez vécue avec votre connexion Freebox. Nous vous encourageons à nous contacter par DM pour analyser votre dossier et trouver une solution rapide.
merci de m avoir fait passer une super soirée en live et merci pour ces 2 déconnexions pour une mise à jour de la box en pleine soirée... n nen l espace de 2 mois j ai déjà eu 2 soucis majeur de connexion avec votre box.... et ça sans jamais aucun geste commercial...,negatif,0.95,Pannes / Coupures,0.9,1,0.7,0.8491,1813698687253746036,Nous sommes désolés pour les difficultés rencontrées. Nous vous recommandons de contacter notre service client via le numéro 3244 pour une prise en charge prioritaire de votre problème. Nous sommes là pour vous aider.
"c est normal des signalements pour pertes de synchro des dizaines de fois par jour , des rendez vous techniciens annulé sans prévenir le client, une assistance téléphonique qui indique que la ligne est rétablie alors que la freebox est en étape 3? freeboxultra",negatif,0.95,Fibre,0.9,2,0.95,0.9324,1813886775799984228,Nous sommes désolés de l'expérience que vous avez vécue avec notre service de fibre. Nous comprenons vos inquiétudes et nous sommes prêts à vous aider. Pourrait-il vous plaire de nous contacter par DM pour vous aider à résoudre ce problème ? Nous sommes là pour vous aider.
depuis le 23 06 je suis en attente d un rdv pour la fibre chez je suis du coup pas encore client et je pense qu a cette allure là je ne le serai jamais !! honteux,negatif,0.95,Fibre,0.95,1,0.75,0.8825,1814009656504885552,Nous sommes désolés de l'expérience que vous avez vécue. Nous vous proposons de vous contacter pour enquêter sur votre problème de fibre. Veuillez nous joindre par DM pour nous fournir plus de détails.
moi aussi j attend le technicien depuis une semaine,negatif,0.9,Fibre,0.9,1,0.8,0.8658,1814031065990001071,Nous sommes désolés de l'expérience que vous avez vécue. Nous vous invitons à nous contacter via DM pour vous aider à résoudre votre problème de fibre. Nous serons heureux de vous fournir une solution le plus rapidement possible.
"allo,avez vous des nouvelles pour le réseau svp ???",neutre,0.9,Pannes / Coupures,0.9,1,0.8,0.8658,1814034736118927866,"Nous sommes désolé de l'inconvenient rencontré. Pour obtenir une aide rapide, veuillez nous contacter par DM avec vos informations de compte. Nous vous remercions de votre patience."
non plus rien depuis 15 mn même coralie est chez free en téléphonie et pas de réseau,negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814035247333253492,Nous sommes désolés pour la difficulté rencontrée. Nous vous recommandons de nous contacter au 3244 pour une assistance rapide sur votre Freebox/Mobile. Nous sommes là pour vous aider.
bonjour j ai fait installer votre box depuis 10 min. mais comment on fait pour avoir un être humain en ligne pour assistance ? impossible au 3244 ni au 1044. merci,negatif,0.9,processus_sav,0.9,2,0.95,0.9158,1814215859520352478,"Nous sommes désolés pour votre incompréhension. Nous sommes là pour vous aider. Si vous avez des questions ou des difficultés avec votre service, n'hésitez pas à nous contacter par DM pour une prise en charge prioritaire. Merci de votre patience."
"bonjour free. cela fait 1 mois que je n ai plus internet. un rdv avait été fixé puis annulé pour, je cite puisque vous deviez intervenir dans les plus brefs délais . nnous avons as la même notion de bref délais. nque faut il faire pour avoir internet ?",negatif,0.95,Fibre,0.9,2,0.95,0.9324,1814220122342470038,"Nous sommes désolés pour votre inconvénient. Nous vous proposons de vérifier votre débit internet. Si vous souhaitez contacter notre service client, n'hésitez pas à nous joindre au 3244. Nous sommes là pour vous aider."
"nbonjour monsieur niel nvoila plus 20 ans que j encense free depuis freesurf ! nj ai tous mes forfaits chez vous ... ndepuis le 15 fev maintenant, je n ai plu la fibre pro dans ma société qui, de fait, est en péril ... que faire ??? nquelle déception ...",negatif,0.9,Fibre,0.95,2,0.95,0.9324,1814232564715966700,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par DM pour vous aider à résoudre votre problème de fibre. Nous serons heureux de vous fournir une solution prioritaire.
normal pour vous qu un des vos employés a souscrit a ma place sans mon accord un abonnement free mobile et que l on me demande d envoyer un courrier de rétractation pour un abonnement que je n ai pas pris ?,negatif,0.95,Facturation / Paiement,0.9,2,0.95,0.9324,1814238911964512258,Nous sommes désolés pour les difficultés rencontrées avec votre facture. Nous vous invitons à nous contacter par téléphone ou courrier pour discuter de l'objet de votre contestation. Nous sommes là pour vous aider. Merci de nous joindre au plus vite.
dites vous n avez pas honte de couper toute connexion et d afficher un message d erreur sur la freebox contactez un technicien pour installer la fibre c est quoi ce forcing en pleines vacances d été? vous pouvez pas attendre la rentrée? on n est pas encore en 2025!,negatif,0.95,Fibre,0.95,2,0.95,0.9491,1814253298322477539,Nous sommes désolés pour votre inconvénient. Nous vous encouragons à contacter notre service client via le numéro 3244 pour parler de vos problèmes de fibre. Nous serons heureux de vous aider.
"3 semaines sans internet et rien ne bouge malgré plusieurs appels, des rdv techniciens annulés... chez free quand ça fonctionne c est bien mais quand il y a un problème technique il n y a plus personne, ni même au téléphone. chez free j ai tout compris : fuir !",negatif,0.95,processus_sav,0.9,2,0.95,0.9324,1814266726114107603,"Nous sommes désolés pour votre inconvénient. Nous sommes là pour vous aider. Si vous avez des questions ou des problèmes avec votre facture, n'hésitez pas à nous contacter par téléphone ou courrier. Merci de préciser l'objet de votre contestation, les dates et les montants concernés. Nous vous répondrons dans les plus brefs délais."
"impossible de contacter l assistance free si c est pas avec le numero de mobile de la personne concernée ! super, on peut pas aider les retraités !!",negatif,0.95,processus_sav,0.9,1,0.7,0.8491,1814276844889289006,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par DM pour enquêter sur votre processus de service. Nous serons heureux de vous aider.
"l assistance free devient complètement aberrante, l invention de proxy n arrange pas moins la situation",negatif,0.95,processus_sav,0.9,1,0.7,0.8491,1814296005510144260,Nous sommes désolés de l'expérience que vous avez vécue. Nous vous invitons à nous contacter par DM pour vous aider à résoudre ce problème. Nous sommes là pour vous aider !
c est normal de balader vos clients victimes d un écrasement de ligne pendant un mois sans aucune information sur un délai d intervention ? pourtant la loi vous donne 8 jours pour rétablir la connexion. ou alors free je n ai pas tout compris,negatif,0.95,processus_sav,0.9,2,0.95,0.9324,1814327641547145515,"Nous sommes désolés pour votre incompréhension. Nous sommes là pour vous aider. Si vous avez des questions ou des difficultés avec votre service, n'hésitez pas à nous contacter par DM pour que nous puissions vous fournir une solution. Merci de votre patience."
c est quoi le problème avec ? la wifi de chez moi n arrête pas de sauter. je paye 48 par mois pour ne pas avoir de connexion. foutaise !,negatif,0.95,Fibre,0.9,2,0.95,0.9324,1814336903992541578,Nous sommes désolés de l'expérience que vous avez vécue avec notre service de fibre. Nous comprenons vos préoccupations et nous sommes prêts à vous aider. Pourrait-il vous plaire de nous contacter par DM pour vous aider à résoudre ce problème ? Nous sommes là pour vous aider.
"commence vraiment à m agacer . 3 jours pas de tv pas d internet, censé être rétabli à 16h, toujours rien. c est pas la 1ere fois que ça merde",negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814348139559612633,Nous sommes désolés pour votre inconvenient. Nous vous invitons à nous contacter par le numéro 3244 pour obtenir de l'aide sur vos problèmes de débit. Nous serons heureux de vous aider.
"n ncoucou ! nje n arrive pas à me faire comprendre par votre conseiller, n nje souhaite avoir freebox ultra. nje possède déjà un abo netflix prime : n nje n aurai plus qu à payer la différence entre le tarif de votre forfait netflix et le prix de ma formule ?",negatif,0.9,Facturation / Paiement,0.8,1,0.7,0.7992,1814348631937311037,"Nous sommes désolés pour votre inconvénient. Pour contester votre facture, veuillez nous contacter par téléphone ou courrier en précisant l'objet de la contestation, les dates et les montants concernés. Nous vous répondrons dans les plus brefs délais. N'hésitez pas à nous contacter via DM pour nous fournir vos informations."
problème de flux tv sur levallois 92300 alors que le débit internet est ok nvous avez des soucis identifiés ?,negatif,0.9,Pannes / Coupures,0.9,1,0.8,0.8658,1814351242035884167,Nous sommes désolés pour votre inconvenient. Nous vous invitons à nous contacter via le numéro 3244 pour enquêter sur vos problèmes de pannes/coupes. Nous serons heureux de vous aider.
idem ! est à cause de la panne mondiale ?,neutre,0.8,Pannes / Coupures,0.95,2,0.9,0.8825,1814353725663916160,Nous sommes désolés pour les problèmes rencontrés. Nous vous recommandons de contacter notre service clientèle en utilisant le numéro 3244 pour une assistance rapide. Nous serons heureux de vous aider.
"oui moi aussi ma freebox reste avec l écran figé. pour internet pas de problème, mais la télé une catastrophe j ai éteint et rallumé la freebox tv mais impossible de regarder les chaînes tv",negatif,0.95,Pannes / Coupures,0.95,1,0.7,0.8658,1814354533444673583,Nous sommes désolés pour le problème rencontré. Nous vous invitons à nous contacter par DM pour analyser votre dossier et vous proposer une solution. Nous sommes là pour vous aider.
panne freebox en cours n 20 freenautes ont signalé des pannes internet dont 15 sur le réseau fibre de free depuis 15h19 n ville concernée : la roque d anthéron 13640 n n,negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814356388652429578,Nous sommes désolés pour le mal-en-route que vous rencontrez. Nous vous encouragons à contacter notre service client via le numéro 3244 pour une prise en charge prioritaire. Nous sommes là pour vous aider !
y a t il un pb sur le réseau ? aucune communication !!! aucun message !!!! ça serait bien d informer les clients !!!!,negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814361238320595218,Nous sommes désolés pour l'inconvenient que vous avez rencontré. Nous vous recommandons de contacter notre service client via le numéro 3244 pour obtenir une assistance sur vos problèmes de débit internet. Nous serons heureux de vous aider.
panne tv ici dans 78. ndowndetector remonte une explosion des problèmes?une communication ?,negatif,0.9,Pannes / Coupures,0.95,2,0.95,0.9324,1814362029194617328,"Nous sommes désolé de l'inconvénient rencontré. Pour obtenir une assistance rapide, veuillez contacter notre service clientèle en envoyant un message privé avec votre numéro de ligne Freebox. Nous nous engageons à vous aider le plus rapidement possible."
encore et encore,negatif,0.85,autre,0.9,1,0.7,0.8159,1814362356207759446,Nous sommes désolés de l'expérience que vous avez vécue. Nous vous proposons de vous contacter pour vous aider à résoudre le problème. Veuillez nous joindre par DM pour analyser votre dossier.
je confirme! panne sur free tv oqee!,negatif,0.9,Pannes / Coupures,0.95,2,0.95,0.9324,1814363066600947901,Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à contacter notre service clientèle en ligne pour une prise en charge prioritaire. Veuillez nous fournir vos informations via un message privé pour que nous puissions vous aider le plus rapidement possible.
"problème panne authentification de la freebox bloquée sur étape 6, département des landes depuis 20mn environ",negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814364867035324900,"Nous sommes désolés pour le mal-en-route que vous rencontrez. Nous vous encouragons à nous contacter par DM pour vous aider à résoudre votre problème. Nous sommes là pour vous aider. (Thème : Pannes / Coupures, Sentiment négatif, Urgence 2)"
oui panne sur les freebox,negatif,0.9,Pannes / Coupures,0.95,2,0.95,0.9324,1814365177191534630,"Nous sommes désolés de l'expérience que vous avez vécue. Nous vous proposons de vous aider par le biais de notre service client. Pour cela, veuillez nous contacter au 3244. Nous serons heureux de vous aider."
vous aussi vous êtes bloqués à l étape 6 avec votre freebox? panne free freebox,negatif,0.95,Pannes / Coupures,0.95,1,0.7,0.8658,1814365932426539130,Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à nous contacter via le numéro 3244 pour une assistance rapide. Nous serons heureux de vous aider.
"panne internet plus de , franceinfotv, chez",negatif,0.9,Pannes / Coupures,0.95,2,0.9,0.9158,1814365941045604823,Nous sommes désolé de l'inconvénient rencontré. Nous vous recommandons de contacter notre service clientèle par téléphone au 3244 pour une prise en charge prioritaire de votre problème. Merci de nous fournir vos identifiants en privé pour une analyse plus efficace.
bonjour pas de connexion ce soir sur ma box,negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814366025778864287,Nous sommes désolés pour les pannes/coupsures que vous rencontrez. Nous vous recommandons de contacter notre service client en utilisant le numéro 3244 pour obtenir une assistance rapide. Nous sommes là pour vous aider.
"oui pareil, apparemment il y a une panne",negatif,0.9,Pannes / Coupures,0.95,1,0.7,0.8491,1814366189977583632,"Nous sommes désolés de l'expérience que vous avez vécue. Nous vous recommandons de nous contacter par DM pour vous aider à résoudre ce problème. Nous sommes là pour vous ! (Thème : Pannes / Coupures, Urgence : 1)"
bonjour free ! incidents en ce moment en fibre sur la france ? dans l herault ? béziers ? merci de votre réponse,neutre,0.9,Pannes / Coupures,0.9,1,0.8,0.8658,1814366412007256112,"Nous sommes désolé pour les difficultés rencontrées. Pour une prise en charge optimale, veuillez nous contacter par DM avec les détails de votre situation. Nous serons heureux de vous aider."
plus d internet depuis 45 mn ??,negatif,0.9,Pannes / Coupures,0.95,2,0.95,0.9324,1814366416214048928,Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à contacter notre service client à 3244 pour une prise en charge prioritaire. Merci de nous fournir vos détails via DM pour que nous puissions vous aider le plus rapidement possible.
et sa continue maintenant internet freebox qui fonctionne plus merde,negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814366706392863042,Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à contacter notre service client via le numéro 3244 pour une prise en charge prioritaire. Merci de nous fournir vos informations par DM pour une réponse plus personnalisée.
"n freeboxultra pireboxdumonde ndéjà un débit pourrit, la tv qui freeze comme de l adsl et la carrément rien qui marche ce soir et pour prévenir de l incident ça ne marche pas non plus ndifficile de ne pas vs détester la",negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814367603932143955,Nous sommes désolés pour l'inconvenient rencontré. Nous vous recommandons de contacter notre service clientèle à 3244 pour une prise en charge prioritaire de votre problème. Merci de nous fournir vos informations par DM pour accélérer le traitement de votre dossier. Nous sommes là pour vous aider !
n non est vendredi soir. je n ai plus aucune chaîne de télévision depuis une demi heure. aucun accès non plus à l assistance en ligne page d erreur ou par téléphone ne répond pas . n netonnamment ça commence à me gonfler.,negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814367744072228929,Nous sommes désolés pour votre inconvénient. Nous vous recommandons de contacter notre service client à 3244 pour une prise en charge prioritaire de votre problème de pannes/coupes. Nous sommes là pour vous aider !
il y a une panne chez free ou quoi? ma box est bloqué à l étape 6,negatif,0.95,Pannes / Coupures,0.95,1,0.8,0.8991,1814368111984029869,"Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à nous contacter par DM pour analyser votre dossier et vous proposer une solution. Nous sommes là pour vous aider. (Thème : Pannes / Coupures, Urgence : 1)"
help free plis d internet et impossible de vous joindre par téléphone,negatif,0.95,Pannes / Coupures,0.9,2,0.95,0.9324,1814368425491222821,Nous sommes désolés pour les difficultés rencontrées. Nous vous recommandons de contacter notre assistance technique en envoyant un DM avec votre numéro de ligne Freebox. Nous nous engageons à vous aider le plus rapidement possible.
encore en panne sur besançon mais c est quoi ce bordel depuis 2mois ???? n freebox free,negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814368437122035989,Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à contacter notre service clientèle en ligne ou par téléphone au 3244 pour une prise en charge prioritaire. Nous sommes là pour vous aider.
panne freebox probleme connexion,negatif,0.95,Pannes / Coupures,0.95,2,0.95,0.9491,1814368731113324770,Nous sommes désolés pour le problème que vous rencontrez. Nous vous recommandons de contacter notre service clientèle par téléphone au 3244 pour une prise en charge prioritaire. Nous sommes là pour vous aider !
en panne aussi,negatif,0.9,Pannes / Coupures,0.95,2,0.95,0.9324,1814368748637192638,Nous sommes désolés de l'inconvénient rencontré. Pouvez-vous nous contacter par DM avec votre numéro de ligne pour que nous puissions vous aider le plus rapidement possible ? Nous sommes là pour vous.
