tweet,sentiment,sentiment_score,theme,theme_score,urgence,urgence_score,confiance,tweet_id,reponse_free
"Javais vu juste et il naura finalement fallu attendre que quelques heures Free ajoute actuellement les versions HDR de France 2 UHD et France 3 UHD De mauvais élève, et après de nombreux messages de mécontentements sur labsence de HDR, passe en tête en proposant dorénavant deux versions SDR et HDR De quoi satisfaire tout le monde pour ceux qui ont des problèmes avec le HDR 🥳 France 2 UHD canal 102 France 2 UHD HDR canal 103 France 3 UHD canal 104 ex canal 103 France 3 UHD HDR canal 105 Dispo suivant la freebox mettez en commentaire si vous lavez, ou pas, sur votre Freebox 4K, quelques bugs actuellement le temps de mettre en place les flux photo discord jartabul",positif,0.95,Information,0.9,1,0.8,0.8824,1813267588560134325,"Merci pour ton retour, nous sommes ravis de t'entendre ! Si tu as des questions ou des suggestions, n'hesite pas à nous contacter via le numéro 3244. 😊"
"Le service proximité de 1 des plus grosses arnaques de ces dernières annéesIncompétents et complètement dépassésTu en sais plus queux,tu leur dis ce qui marche pas,tu prends un rdv avec un technicien qui vient que ds 1 semaine Pratique pr le télétravail Plus de reponse",negatif,0.95,processus_sav,0.95,2,0.95,0.9491,1813579520819286432,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par DM pour examiner votre cas de manière prioritaire. Nous sommes là pour vous aider.
"comment vous joindre jai été débité pour non restitution de matériel pour une résiliation de ligne que je nai pas effectuée moi même, impossible de vous joindre car mes identifiants n existent plus, vos relances sont arrivées directement",negatif,0.95,Facturation et Paiement,0.95,2,0.9,0.9324,1813581407668871481,Nous sommes désolés pour l'inconvenient que vous rencontrez avec votre facture. Nous sommes prêts à vous aider. Veuillez nous contacter par DM pour discuter de l'objet de votre contestation et nous fournir les dates et montants concernés. Nous vous répondrons dans les plus brefs délais.
ma fibre HS depuis 3 semaines,neutre,0.5,Fibre optique,0.9,1,0.7,0.6993,1813586665371513000,"Nous remercions chaleureusement votre retour sur notre service de fibre optique. Si vous avez des questions ou des problèmes, n'hésitez pas à nous contacter par DM pour une analyse détaillée de votre dossier. Nous sommes là pour vous aider !"
Vous pouvez m’envoyer les avengers de la fibre svp les mêmes que j’ai chez ça fait 1mois que j’attend,positif,0.95,Fibre optique,0.95,1,0.8,0.8991,1813586931986698575,"Merci de votre retour, nous sommes ravis de vous entendre ! Si vous avez des questions ou des problèmes concernant votre offre de fibre optique, n'hésitez pas à nous contacter par DM. Nous serons heureux de vous aider ! 😊"
"Bon je travaille En remote chez moi et ça fait 1 semaine que j’ai plus de connexion avec , ils ont envoyé un technicien qui a dit « on vous envoie un autres tech » et depuis plus de nouvelles, de base je kiff free, le boss etc etc mais la ,,,",negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1813604838682325386,Nous sommes désolés pour votre inconvénient. Nous vous invitons à contacter notre équipe d'assistance technique via le numéro 3244. Nous serons heureux de vous aider.
il va falloir revoir la sélection des installateurs de fibre optique J’ai pas commandé un fil pour étendre mon linge … le voisin non plus Donc va falloir revenir,negatif,0.95,autre,0.1,1,0.8,0.616,1813625655374098443,Nous sommes désolés de l'inconvenient que vous rencontrez. Nous vous invitons à nous contacter par DM pour vous aider à résoudre votre problème. Nous serons heureux de vous aider.
"Bonjour Comptez vous intégrer les versions HDR de FR2 et FR3 sur les applis Oqee TV hors player pop LG TV Et si oui, sous quel délai approximatif à temps pour les JO Nous sommes nombreux à utiliser lappli sans le décodeur, ce serait très appréciable Merci par avance",positif,0.85,Information,0.9,1,0.8,0.8492,1813628840624943206,"Merci pour ton retour ! Nous sommes ravis de t'entendre. Si tu as des questions supplémentaires ou des suggestions, n'hesite pas à nous contacter. 💬💡"
12 Salut Free je désespère Client depuis 20 ans payant à chaque fois le renouvellement de mes box plein tarif sans jamais un geste commercial pour ses vieux clients Je subis depuis le moi de juin des coupures intempestifs de ma ligne,negatif,0.95,processus_sav,0.95,2,0.9,0.9324,1813633896136994907,"Nous sommes désolés de l'expérience que vous avez vécue. Nous vous proposons de vous aider à contester votre facture. Veuillez nous contacter par téléphone ou courrier en précisant l'objet de la contestation, les dates et les montants concernés. Nous vous répondrons dès que possible."
de l’aide s’il vous plaît 🙏🏼,negatif,0.9,Pannes et Coupures,0.9,1,0.7,0.8325,1813652642113229136,Nous sommes désolés pour les pannes et coupures que vous rencontrez. Nous vous invitons à nous contacter par DM pour analyser votre dossier et proposer une solution. Nous sommes disponibles sur le numéro 3244.
"Ne passez pas chez free Depuis le mois de mai, jattends quils me rendent ma clé avec laquelle linstallateur free est parti",negatif,0.95,Livraison,0.95,1,0.8,0.8991,1813672057575731665,Nous sommes désolés de l'expérience que vous avez vécue avec votre livraison. Nous vous proposons de vous contacter par DM pour trouver une solution rapide. N'hésitez pas à nous joindre.
pourquoi j’ai des bugs de connexion wsh je paye la fibre,negatif,0.9,Pannes et Coupures,0.9,1,0.7,0.8325,1813684903856468282,Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à contacter notre service client via le numéro 3244 pour une prise en charge prioritaire de votre problème. Merci de nous fournir plus de détails pour nous aider à vous aider le plus rapidement possible.
Merci de mavoir fait passer une super soirée en live et merci pour ces 2 déconnexions pour une mise à jour de la box en pleine soirée En lespace de 2 mois jai déjà eu 2 soucis majeur de connexion avec votre box et ça sans JAMAIS aucun geste commercial,negatif,0.9,Pannes et Coupures,0.9,2,0.9,0.8991,1813698687253746036,Nous sommes désolés pour l'inconvénient rencontré. Nous vous proposons de vous contacter par le biais du numéro 3244 pour vous aider à résoudre ce problème. Merci de nous faire parvenir vos informations par DM pour une prise en charge prioritaire.
Bonjour je cherche à modifier des mots de passe de boîtes mails qui sont gérés chez vous sur des domaines un peu vieux Comment peuton faire ça na pas lair possible via la page webmail free,neutre,0.5,Information,0.7,1,0.8,0.666,1813864570282541144,"Nous sommes ravis de vous entendre ! Pour toute question sur votre facture, n'hésitez pas à nous contacter par téléphone ou courrier. Merci de préciser l'objet de la contestation, les dates et les montants concernés. Nous serons heureux de vous aider !"
"Bonjour, mes parents ont fait leur inscription enfin le 9, et depuis pas de nouvelle toujours bloqué à cette étape, cest normal",negatif,0.95,processus_sav,0.95,1,0.8,0.8991,1813867624843055326,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par DM pour discuter de votre contestation de facture. Nous serons heureux de vous aider.
"c’est normal des signalements pour pertes de synchro des dizaines de fois par jour, des rendezvous techniciens annulé sans prévenir le client, une assistance téléphonique qui indique que la ligne est rétablie alors que la Freebox est en étape 3 #freeboxUltra",negatif,0.95,Pannes et Coupures,0.95,1,0.7,0.8658,1813886775799984228,"Nous sommes désolés de l'inconvenient rencontré. Pour obtenir une assistance rapide, veuillez nous contacter par DM avec votre numéro de ligne Freebox. Nous serons heureux de vous aider."
je ne comprend pas une amie abonnée chez vous avec la delta depuis 2 ans on lui a offert les frais de migration vers la ultra Moi je suis abonné chez vous depuis 2009 et a moi on me fait payer les frais de migration vers la ultra inadmissible,negatif,0.95,Facturation et Paiement,0.95,1,0.7,0.8658,1813977091500802109,Nous sommes désolés pour l'inconvenient que vous rencontrez avec votre facture. Nous sommes prêts à vous aider. Veuillez nous contacter par DM pour discuter de votre contestation et nous fournir les détails nécessaires.
Depuis le 2306 je suis en attente d’un rdv pour la fibre chez je suis du coup pas encore client et je pense qu’a cette allure là je ne le serai jamais Honteux,negatif,0.95,Fibre optique,0.9,1,0.7,0.8491,1814009656504885552,Nous sommes désolés de l'expérience que vous avez vécue avec votre débit internet. Nous vous invitons à nous contacter par DM pour vous aider à résoudre ce problème. Nous serons heureux de vous aider.
dépêchez vous,negatif,0.9,Pannes et Coupures,0.9,2,0.95,0.9158,1814030614103785545,Nous sommes désolés de l'expérience que vous avez vécue. Nous vous proposons de contacter notre service clientèle via le numéro 3244 pour une prise en charge prioritaire de votre problème. Merci de nous envoyer un DM avec vos informations pour que nous puissions vous aider le plus rapidement possible.
moi aussi jattend le technicien depuis une semaine,negatif,0.85,Pannes et Coupures,0.95,1,0.8,0.8658,1814031065990001071,Nous sommes désolé de l'inconvenient que vous rencontrez. Nous vous invitons à nous contacter par DM pour analyser votre problème. Nous vous répondrons le plus rapidement possible.
"allo,avez vous des nouvelles pour le réseau SVP",neutre,0.7,Pannes et Coupures,0.9,1,0.7,0.7659,1814034736118927866,"Nous sommes désolé de l'inconvenient que vous rencontrez. Si c'est une question de débit Internet ou de panne Fibre, nous pouvons vous aider. Veuillez nous contacter par DM avec plus de détails sur votre situation. Nous sommes là pour vous aider !"
Non plus rien depuis 15 mn même Coralie est chez Free en téléphonie et pas de réseau,negatif,0.95,Pannes et Coupures,0.95,1,0.7,0.8658,1814035247333253492,Nous sommes désolés de l'inconvenient que vous rencontrez. Nous vous recommandons de contacter notre service clientèle via le numéro 3244 pour une prise en charge prioritaire de votre problème. Merci de nous envoyer un DM avec vos identifiants pour accélérer le traitement de votre demande. Nous sommes là pour vous aider.
rendez la wifi,neutre,0.5,Fibre optique,0.9,1,0.7,0.6993,1814081417405497766,"Nous sommes ravis de vous entendre sur le sujet de la fibre optique. Pour toute question ou problème concernant votre offre, n'hésitez pas à nous contacter par téléphone sur 3244 ou par courrier. Nous serons heureux de vous aider !"
Non mais vous répondre trois jours après Super le service après vente,negatif,0.85,Pannes et Coupures,0.9,1,0.7,0.8159,1814208069481422980,Nous sommes désolés pour votre inconvenient actuel. Nous vous invitons à nous contacter par DM pour analyser votre dossier et trouver une solution le plus rapidement possible. Nous sommes là pour vous aider.
Bonjour jai fait installer votre box depuis 10 min Mais comment on fait pour avoir un être humain en ligne pour assistance Impossible au 3244 ni au 1044 Merci,negatif,0.95,processus_sav,0.95,2,0.95,0.9491,1814215859520352478,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par DM pour enquêter sur votre processus de service. Nous serons heureux de vous aider.
"bonjour Free Cela fait 1 mois que je nai plus internet Un rdv avait été fixé puis annulé pour, je cite puisque vous deviez intervenir dans les plus brefs délais Nous avons as la même notion de bref délais Que fautil faire pour avoir internet",negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1814220122342470038,Nous sommes désolés pour les difficultés rencontrées. Nous vous recommandons de contacter notre service client via le numéro 3244 pour une prise en charge prioritaire. Merci de nous fournir plus de détails via DM pour nous aider à résoudre votre problème.
"Bonjour Monsieur Niel Voila plus 20 ans que jencense Free depuis Freesurf Jai tous mes forfaits chez vous Depuis le 15 fev maintenant, je nai plu la fibre pro dans ma société qui, de fait, est en péril Que faire Quelle déception",negatif,0.95,Facturation et Paiement,0.9,2,0.95,0.9324,1814232564715966700,Nous sommes désolés pour votre incompréhension sur votre facture. Nous sommes prêts à vous aider. Veuillez nous contacter par DM pour discuter de vos préoccupations et nous fournir les détails nécessaires. Nous vous répondrons le plus rapidement possible.
Normal pour vous quun des vos employés a souscrit a ma place sans mon accord un abonnement Free mobile et que lon me demande denvoyer un courrier de rétractation pour un abonnement que JE nai pas pris,negatif,0.95,Facturation et Paiement,0.95,1,0.8,0.8991,1814238911964512258,Nous sommes désolés pour les difficultés rencontrées avec votre facture. Nous vous invitons à nous contacter via le numéro 3244 pour discuter de votre contestation. Nous serons heureux de vous aider. Merci de votre patience.
Dites vous n’avez pas honte de couper toute connexion et d’afficher un message d’erreur sur la freebox « contactez un technicien pour installer la fibre » c’est quoi ce forcing en pleines vacances d’été Vous pouvez pas attendre la rentrée On n’est pas encore en 2025,negatif,0.95,Pannes et Coupures,0.95,2,0.95,0.9491,1814253298322477539,Nous sommes désolés pour votre inconvénient. Nous vous recommandons de contacter notre service client à 3244 pour une prise en charge prioritaire de votre problème. Nous sommes là pour vous aider.
"3 semaines sans internet et rien ne bouge malgré plusieurs appels, des rdv techniciens annulés Chez free quand ça fonctionne cest bien mais quand il y a un problème technique il ny a plus personne, ni même au téléphone Chez free jai tout compris FUIR",negatif,0.95,Pannes et Coupures,0.95,2,0.95,0.9491,1814266726114107603,Nous sommes désolé de l'inconvénient rencontré. Nous vous recommandons de contacter notre service client via le numéro 3244 pour une prise en charge prioritaire de votre demande. Nous sommes là pour vous aider.
"Impossible de contacter l’assistance free si c’est pas avec le numero de mobile de la personne concernée Super, on peut pas aider les retraités",negatif,0.95,processus_sav,0.95,2,0.9,0.9324,1814276844889289006,"Nous sommes désolés pour votre inconvénient. Nous sommes prêts à vous aider avec votre problème de processus SAV. Pour une prise en charge prioritaire, veuillez nous contacter par DM en précisant votre numéro de client et votre objet de contestation. Nous sommes là pour vous aider."
"l’assistance Free devient complètement aberrante, l’invention de Proxy n’arrange pas moins la situation",negatif,0.95,processus_sav,0.95,2,0.9,0.9324,1814296005510144260,"Nous sommes désolés de l'expérience que vous avez vécue. Nous sommes là pour vous aider. Pour contester une facture, contactez notre service client via le numéro 3244 ou par courrier. Nous vous remercions de nous en informer."
abonnée myCANAL via je n’ai pas récupéré la diffusion sur mon téléviseur…ça fonctionne sur tablette…estce normal,negatif,0.8,Pannes et Coupures,0.9,1,0.7,0.7992,1814299035529834820,"Nous sommes désolés pour l'expérience que vous avez vécue. Si c'est une panne ou une coupure, nous vous recommandons de contacter notre service client en utilisant le numéro 3244. Si c'est une question de facturation, n'hésitez pas à nous contacter par téléphone ou courrier en précisant l'objet de votre contestation, les dates et les montants concernés. Nous sommes là pour vous aider."
Sa donne que j’ai besoin de couverture au travail help me saint Pol sur Ternoise 62130,negatif,0.8,Pannes et Coupures,0.9,1,0.7,0.7992,1814306411746054410,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter par DM pour vous aider à résoudre votre problème. Nous sommes là pour vous aider.
Toujours de chaine 103 et 104 HDR sur sur ma tv samsung,positif,0.9,Information,0.9,0,0.1,0.6327,1814314333343465484,"Merci pour ton retour, nous sommes ravis de t'entendre ! Si tu as des questions ou des suggestions, n'hésite pas à nous contacter. 😊 #service_client #autre"
cest normal de balader vos clients victimes dun écrasement de ligne pendant un mois sans aucune information sur un délai dintervention Pourtant la loi vous donne 8 jours pour rétablir la connexion Ou alors free je nai pas tout compris,negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1814327641547145515,Nous sommes désolés de l'inconvenient rencontré. Nous vous recommandons de contacter notre service client en appellant au 3244 pour une assistance rapide. Nous sommes là pour vous aider.
je n’en peux plus 1 mois que la box s’arrête en pleine journée pour ne redémarrer qu’a 23h impossible de vous joindre C’est terminé je résilie À ce niveau c’est de l’incompétence,negatif,0.95,Pannes et Coupures,0.95,2,0.95,0.9491,1814334384704565600,Nous sommes désolés pour votre inconvénient. Nous vous proposons de contacter notre service clientèle pour vous aider à résoudre votre problème. Vous pouvez nous joindre au numéro 3244. Nous sommes là pour vous aider.
"il faudrait deja commencer par assurer un reseau correct pas de reseau mobile depuis une semaine dans le Nord des Landes, free annonce une maintenance des relais, et maintenant comme ça dure, free accuse Enedis pour une histoire de compteur electrique de qui se moque ton",negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1814336508846899237,Nous sommes désolés pour les problèmes rencontrés. Nous vous recommandons de contacter notre service client via le numéro 3244 pour une prise en charge prioritaire. Nous sommes là pour vous aider. Merci de nous contacter par DM avec votre numéro de ligne pour une réponse plus rapide.
C’est quoi le problème avec La wifi de chez moi n’arrête pas de sauter Je paye 48€ par mois pour ne pas avoir de connexion Foutaise,negatif,0.95,Pannes et Coupures,0.95,2,0.95,0.9491,1814336903992541578,Nous sommes désolés pour les difficultés rencontrées. Nous vous encouragons à contacter notre service client via le numéro 3244 pour une prise en charge prioritaire de vos problèmes. Merci de nous fournir plus de détails via un message privé. Nous sommes là pour vous aider.
C’est parti pour la finale du Mondial de rugby U20 💪🇫🇷 ALLEZ LES BLEUETS #lequipeRUGBY,positif,0.95,Information,0.9,0,0.0,0.616,1814344612590358589,"Merci pour ton retour, nous sommes ravis de t'entendre ! 😊 Si tu as des questions ou des suggestions, n'hesite pas à nous en faire part. 💬 #service_client"
"Commence vraiment à magacer 3 jours pas de Tv pas dinternet, censé être rétabli à 16h, toujours rien Cest pas la 1ere fois que ça merde",negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1814348139559612633,Nous sommes désolés pour votre inconvénient. Nous vous invitons à nous contacter via le numéro 3244 pour obtenir de l'aide sur vos problèmes de débit. Nous serons heureux de vous aider.
La diffusion de interrompue depuis plus de dix’ minutes sur #freebox,negatif,0.9,Pannes et Coupures,0.95,2,0.95,0.9324,1814348364185538617,Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à contacter notre service clientèle en utilisant le numéro 3244 pour obtenir une aide rapide. Nous serons heureux de vous aider.
"Coucou Je narrive pas à me faire comprendre par votre conseiller, Je souhaite avoir gt Freebox Ultra Je possède déjà un abo netflix prime Je naurai plus quà payer la différence entre le tarif de votre forfait Netflix et le prix de ma formule",negatif,0.9,Facturation et Paiement,0.95,1,0.8,0.8824,1814348631937311037,Nous sommes désolés pour votre incompréhension sur votre facture. Nous sommes là pour vous aider. Veuillez nous contacter par DM pour discuter de l'objet de votre contestation et nous fournir les dates et montants concernés. Nous vous répondrons dès que possible.
"bonjour, pas mal de problème de réception chaînes, êtesvous confronté à divers problèmes Merci pour votre retour",negatif,0.9,Pannes et Coupures,0.9,1,0.8,0.8658,1814348648827834768,Nous sommes désolés pour votre inconvenient. Nous vous recommandons de contacter notre service client via le numéro 3244 pour une prise en charge prioritaire de votre problème. Merci de nous faire parvenir vos informations via DM pour une analyse plus rapide. Nous sommes là pour vous aider.
"Jai FR2FR3 et quelques autres où jai un écran noir BFM ça sarrête, revient, sarrête",negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1814350121863180290,Nous sommes désolés pour les problèmes rencontrés. Nous vous recommandons de contacter notre service client via le numéro 3244 pour une prise en charge prioritaire. Merci de nous fournir plus de détails via un message privé pour que nous puissions vous aider le plus rapidement possible.
Je pensais être le seul ça me clc la sah,negatif,0.9,Pannes et Coupures,0.9,1,0.7,0.8325,1814351024800338122,"Nous sommes désolés pour le problème rencontré. Nous vous recommandons de nous contacter par DM pour analyser votre dossier. Nous sommes là pour vous aider. (Thème : Pannes et Coupures, Urgence : 1)"
"Ho cest quoi cette merde là jai beau redémarrer la box, là chaine léquipe 21 fait que de couper Sur mycanal ça coupe pas",negatif,0.95,Pannes et Coupures,0.95,1,0.8,0.8991,1814351117712818309,Nous sommes désolés pour les difficultés rencontrées. Nous vous invitons à contacter notre service client via le numéro 3244 pour obtenir une assistance rapide. Nous sommes là pour vous aider.
"je tente de regarder le rugby sur là Cest un enfer ça saute toute les 2 secondes Cest partout chez vous ou juste moi En attendant je coupe, cest infernal 😩",negatif,0.95,Information,0.3,1,0.8,0.6826,1814351196942970891,"Nous sommes désolé de l'inconvénient rencontré. Pour contester votre facture, veuillez nous contacter via le numéro 3244 ou par courrier. Nous serons heureux de vous aider."
Problème de flux Tv sur Levallois 92300 alors que le débit internet est ok Vous avez des soucis identifiés,negatif,0.95,Pannes et Coupures,0.9,1,0.8,0.8824,1814351242035884167,Nous sommes désolé de l'expérience que vous avez vécue. Nous vous recommandons de nous contacter par le numéro 3244 pour que nous puissions vous aider à résoudre ce problème. Merci de nous fournir plus de détails pour que nous puissions vous aider le plus rapidement possible.
"Bonjour, pareil de notre côté",neutre,0.7,Pannes et Coupures,0.9,1,0.7,0.7659,1814351414161732036,"Nous sommes désolés pour votre inconvénient. Si c'est une question de débit Internet, nous pouvons vérifier la ligne pour vous. Si c'est une question de facturation, n'hésitez pas à nous contacter pour plus d'informations. Merci de nous joindre par DM pour nous fournir plus de détails. Nous sommes là pour vous aider."
"J en ai marre Jessaie de regarder la finale de la coupe du monde de rugby U20 sur la chaine l’Équipe Mission impossible Des coupures toutes les 3 minutes Heureusement je peux regarder la même chaine grâce à la TNT Mais pourquoi payer 40,00€ si Free ne sert à rien",negatif,0.95,Information,0.6,1,0.8,0.7826,1814352298845319666,Nous sommes désolés de l'inconvenient que vous rencontrez. Nous vous recommandons de nous contacter par téléphone au 3244 pour discuter de votre situation. Nous serons heureux de vous aider.
"Y a pas mal de chaines qui beuguent,jespère que #Freebox va régler ca assez vit😡",negatif,0.95,Pannes et Coupures,0.9,1,0.8,0.8824,1814353719720325462,"Nous sommes désolés pour votre inconvenient. Si c'est une panne ou une coupure, veuillez nous contacter immédiatement à 3244 pour que nous puissions vous aider. Nous sommes là pour vous."
Idem Est à cause de la panne mondiale,negatif,0.9,Pannes et Coupures,0.95,1,0.7,0.8491,1814353725663916160,"Nous sommes désolés pour votre inconvénient. Nous vous recommandons de nous contacter par DM pour analyser votre cas et trouver une solution le plus rapidement possible. Nous sommes là pour vous aider ! (Thème : Pannes et Coupures, Urgence : 1, FAQ : service_client)"
Idem les trois quarts des chaînes écran noir ou image figée,negatif,0.9,Pannes et Coupures,0.95,2,0.95,0.9324,1814354329827991701,Nous sommes désolés pour votre inconvénient. Nous vous proposons de vous contacter par le biais de notre service client pour vous aider à résoudre votre problème. Veuillez nous joindre au numéro 3244 pour notre assistance Freebox/Mobile (inclus depuis Freebox). Nous sommes là pour vous aider !
"Oui moi aussi ma freebox reste avec lécran figé Pour internet pas de problème, mais la télé une catastrophe😤 jai éteint et rallumé la freebox tv mais impossible de regarder les chaînes TV 😭",negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1814354533444673583,"Nous sommes désolés pour le mal-en-route que vous rencontrez. Nous vous invitons à nous contacter par DM pour vous aider à résoudre ce problème. Nous sommes là pour vous ! (Thème : Pannes et Coupures, Urgence : 2)"
"honteux la connection chez free, impossible de suivre léquipe de France en finale de la coupe du monde de rugby",negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1814356278237368711,Nous sommes désolé de l'expérience que vous avez vécue. Nous vous proposons de vous aider immédiatement. Veuillez nous contacter par DM avec vos informations pour que nous puissions vous aider le plus rapidement possible.
⚠#PANNE FREEBOX EN COURS⚠ 📡20 freenautes ont signalé des pannes #Internet dont 15 sur le réseau #fibre de #Free depuis 15h19 🌍Ville concernée La RoquedAnthéron 13640 ⬇️⬇️⬇️,negatif,0.95,Pannes et Coupures,0.95,2,0.9,0.9324,1814356388652429578,"Nous sommes désolés de l'inconvenient rencontré. Pour obtenir une aide rapide, veuillez contacter notre service clientèle en envoyant un DM avec votre numéro de ligne Free. Nous serons heureux de vous aider."
