id,tweet,sentiment,thème,urgence,confiance
1814253298322477539,dites vous avez pas honte de couper toute connexion et o afficher un message demeur sur is freebox contactez un technicien pour installer la fibre c est quoi ce forcing en pleines vacances d'été? vous pouvez pas atte 28,negatif,Fibre,3,0.94
1814266726114107603,"3 semaines sans intermet et rien ne bouge malgré plusieurs appels, des rdv lechniciens annulés chez free quand ça fonctionne c est bien mais quand il y a un problème technique in y a plus personne, ni même au félés 29",negatif,Panne Internet,3,0.95
1814276844889289008,"impossible de contacter I assistance free si c est pas avec le numero de mobile de la personne concernée super, on peut pas aider les retraités 30",negatif,Espace Client,2,0.90
1814296005510144200,assistance tree devient complètement aberrante. invention de proxy amange pas moins la situation 31,negatif,Espace Client,2,0.88
1814327041547145515,"est normal de balader vos clients victimes d un écrasement de ligne pendant un mois sans aucune information sur un délaid intervention? pourtant la loi vous donne & jours pour rétablir la connexion, ou alors tree je n 32",negatif,Panne Internet,3,0.95
1814338903992541578,"est quoi le problème avec la will de chez moin amite pas de sauter, je paye par mois pour ne pas avoir de connexion foutaise! 33",negatif,Panne Internet,2,0.93
1814348139550012633,"commence vraiment à magacer 3 jours pas de tv pas di intemel, censé être rétabli à 16h, toujours rien c est pas la fare fois que ça merde 34",negatif,Panne Internet,3,0.94
1814348631937311037,"ncoucou jen arrive pas à me fare comprendre par votre conseiller, in nje souhaite avoir freebox ultra, nje possède déjà un ubo netfix prime nje n'aura plus qu à payer la différence entre le tant de votre fortalt nettl 35",neutre,Espace Client,1,0.85
1814351242038884167,problème de flux tv sur levallois 92300 alors que le débit internet est ok nous avez des soucis identifiés 7 36,negatif,Panne Internet,1,0.89
1814383725663016160,dem I est à cause de la panne mondiale 7 37,neutre,Panne Internet,1,0.80
1814354533444673583,"oui moi aunai ma freebox neste avec éccan figé, pour intemet pas de problème, mais la télé une catastrophes élent et ratlumé la freebox tv mais impossibile de receder les chaines tv 38",negatif,Panne Internet,2,0.91
1814356388652429576,panne freebox en cours n. 20 freenautes ont signalé des pannes internet dont 15 sur le réseau fibre de free depuis 15htë in ville concemée: la roque d antheran 13640 n 39,negatif,Panne Internet,2,0.88
1814361238320585218,allin pb surie réseau? aucune communication aucun message ça serait bien it informer les clients!!! 40,negatif,Panne Internet,2,0.90
1814362029194617328,"panne tv ici dans 78, ndowndetector remonte une explosion des problèmes une communication? 41",negatif,Panne Internet,2,0.90
1814382356207750446,encore et encore 42,negatif,Panne Internet,2,0.65
1814383066600047901,je confirme panne sur free tv oqeel 43,negatif,Panne Internet,2,0.92
1814364867035324900,"problème panne authentification de la freebox bloquée sur étape 6, département des tandes depuis 20mn environ 44",negatif,Panne Internet,2,0.96
1814365177101534830,oul panne sur les fheebox 45,negatif,Panne Internet,2,0.92
1814365932426539130,vous aussi vous êtes bloqués à l étape avec votre freebox? parine free freebox 46,negatif,Panne Internet,2,0.92
1814385941045604823,"panne internet plus de, francsinloty, chez 47",negatif,Panne Internet,3,0.88
181436602577,borijour pas de connexion ce soir sur ma box 48,negatif,Panne Internet,3,0.94
1814366189977583632,"oui pareil, apparemment il y a une panne 49",negatif,Panne Internet,2,0.90
1814386412007256112,bonjour free incidents en ce moment en fibre sur la france ? dans I herault 7 béziers 7 merci de votre réponse 50,neutre,Panne Internet,1,0.88
1814366416214048928,plus of internet depuis 45 min 77 51,negatif,Panne Internet,2,0.92
1814366706382863042,et sa continue maintenant internet freebox qui fonctionne plus merde 52,negatif,Panne Internet,3,0.94
1814367603932145955,n freeboxultra pireboxdumonde ndeja un débit pourrit ta tv qui freeze comme de adsl et la camément rien qui marche ce soir et pour prévenir de i incident ça ne marche pas non plus ndifficilie de ne pas va détestéria 53,negatif,Panne Internet,3,0.95
1814367744072228929,non est vendredi soir je na plus aucune chaîne de télévision depuis une derni heure aucun accès non plus à l assistance eri ligne page d erreur ou par téléphone ne répond pas n netonnamment ça commence à me 54,negatif,Panne Internet,3,0.93
1814368111984029869,y a une panne chat free ou quoi? ma box est bloqué à étape 6 55,negatif,Panne Internet,3,0.95
1814368425481222621,help free plis d intermet et impossible de vous joindre par téléphone 56,negatif,Panne Internet,3,0.94
1814388437122035989,encore en panne sur besançon mais c est quoi ce bordel depuis 2mas 7777 n freebox free 57,negatif,Panne Internet,3,0.95
1814368731113324770,panne freebox probleme connexion 58,negatif,Panne Internet,2,0.95
1814368748837192638,en partine aussi 59,negatif,Panne Internet,2,0.90
