index,id,screen_name,categorie,issues,extrait
21,1481569489741352965,Freebox,RT/Partage,Retweet (pas une demande directe),"RT @free: Découvrez Imearth, la nouvelle chaîne d’immersion dont vous êtes le héros et projetez vous..."
25,1485595787144966144,Freebox,RT/Partage,Retweet (pas une demande directe),RT @Free_1337: Un coupure de fibre entraîne une interruption de service pour une partie des abonnés ...
27,1495762847825272834,Freebox,RT/Partage,Retweet (pas une demande directe),"RT @Free_1337: Bonjour, une rupture de fibre engendre depuis ce matin une interruption de service su..."
67,1813977091500802109,jacquesnote,Spam/Promotion,Spam ou promotion non pertinente,@Freebox je ne comprend pas une amie abonnée chez vous avec la delta depuis 2 ans on lui a offert le...
189,1814935159948398606,d2risto,Spam/Promotion,Spam ou promotion non pertinente,rebonjour @free \nnouveau message du serveur SMTP via Thunderbird https://t.co/kNRCp3f6kL
205,1815355541381591248,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@_Kirikou_ La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-mo..."
206,1815355701813760128,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@fannnoche La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-mo..."
207,1815355808768553394,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@tud0z La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-moi dè..."
208,1815355980672106943,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@mglp__ La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-moi d..."
209,1815356305512505425,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Lorkydey La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-moi..."
210,1815356862159528076,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Marc_Vador La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-m..."
211,1815357051461079491,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@gurbain69 La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-mo..."
212,1815357254679306434,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Motsen78 La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-moi..."
213,1815357724210737426,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@ddrdv La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-moi dè..."
214,1815357848152395948,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@soulakhey La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-mo..."
215,1815358105829454219,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@coWiqx La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-moi d..."
250,1815710705573634199,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Darknig78166491 La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nVous n..."
251,1815711015482318861,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@HugoRLT__ La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nVous n'avez ..."
252,1815713762973827411,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Coach_Euphoria La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nVous n'..."
253,1815714025671422348,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@tontonyoy La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nVous n'avez ..."
254,1815714520779665409,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@hnchck La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nVous n'avez pas..."
255,1815715540712698060,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@AnthonyPiresG La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nVous n'a..."
264,1816368248306245944,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@jacquesnote La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nVous n'avez..."
265,1816368497682706542,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Y__htz La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nPouvez-vous nous..."
266,1816369862593175815,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@ariii_miss La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pa..."
267,1816370203648790812,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@bavrooo La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pas e..."
268,1816370319571013826,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@GTrotereau La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nPouvez-vous ..."
269,1816371126160732162,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@liloun67 La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-moi..."
270,1816372351765725272,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@bngxchnx La messagerie privée X n’est plus disponible, et nous en sommes désolés. \n\nRetrouvez-moi..."
271,1816372420485300687,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@QVolant La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nVous n'avez pas..."
272,1816372462398984516,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Ben29072013 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez p..."
273,1816372691076513808,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@MasimSaid La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nVous n'avez p..."
274,1816372968043282485,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Dorban La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nPouvez-vous nous..."
275,1816373182879711348,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@MichaelPincebo1 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'av..."
276,1816373450518266109,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@cavasesavoir2 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nPouvez-vo..."
277,1816373460018303293,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@TabaryErwin La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez p..."
278,1816373978530746777,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@reisen67 La messagerie privée X n’est plus disponible, et nous en sommes désolés reisen67. \n\nRetr..."
279,1816374747011104900,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Francedz213 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez p..."
280,1816375061835661495,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@microlinux_eu La messagerie privée X n’est plus disponible, et nous en sommes désolés microlinux_eu..."
281,1816375418997330421,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@enzonaute La messagerie privée X n’est plus disponible, et nous en sommes désolés enzonaute. \n\nRe..."
282,1816375715693989953,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@relooking7500 La messagerie privée X n’est plus disponible, et nous en sommes désolés relooking7500..."
283,1816375971009745343,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@MissWlad La messagerie privée X n’est plus disponible, et nous en sommes désolés MissWlad. \n\nRetr..."
284,1816376221569085442,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@chatainsim La messagerie privée X n’est plus disponible, et nous en sommes désolés chatainsim. \n\n..."
285,1816376511152165361,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@mrkilkenny91 La messagerie privée X n’est plus disponible, et nous en sommes désolés mrkilkenny91. ..."
286,1816376708510925203,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@raynald62 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nVous n'avez p..."
287,1816376722964558281,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Pirlouise La messagerie privée X n’est plus disponible, et nous en sommes désolés Pirlouise. \n\nRe..."
288,1816377524500279737,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@CalieeeFourchon La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'av..."
289,1816377592561217750,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@ADianeadam La messagerie privée X n’est plus disponible, et nous en sommes désolés ADianeadam. \n\n..."
290,1816377733766680901,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@JosDuklein La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pa..."
291,1816377915442864297,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@DebyZknd La messagerie privée X n’est plus disponible, et nous en sommes désolés DebyZknd. \n\nRetr..."
292,1816378182666223786,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@AnaisSeref La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pa..."
293,1816378452620038587,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Lecteur_Du_Soir La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'av..."
294,1816378736263979119,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@frigotier59 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez p..."
295,1816379277786354028,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Michaela31700 La messagerie privée X n’est plus disponible, et nous en sommes désolés Michaela31700..."
296,1816379936912937281,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@kaelinou La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pas ..."
297,1816380108636041278,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Azyakitte La messagerie privée X n’est plus disponible, et nous en sommes désolés Azyakitte. \n\nRe..."
298,1816380455169441934,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Heddicmi La messagerie privée X n’est plus disponible, et nous en sommes désolés Heddicmi. \n\nRetr..."
299,1816380518658662547,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@GrienerA La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pas ..."
300,1816380712934593013,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@BadjudaTella La messagerie privée X n’est plus disponible, et nous en sommes désolés BadjudaTella. ..."
301,1816380780500664763,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@blavier86 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pas..."
302,1816381024504369575,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Pisse__Partout La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'ave..."
303,1816381196273582369,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@fredupdate La messagerie privée X n’est plus disponible, et nous en sommes désolés fredupdate. \n\n..."
304,1816381288254709826,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Fab_LCL La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pas e..."
305,1816381504210993344,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Ytzaka_ La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pas e..."
306,1816381516278005972,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@KB79748687 La messagerie privée X n’est plus disponible, et nous en sommes désolés KB79748687. \n\n..."
307,1816381736600715352,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@ODILEderaies La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez ..."
308,1816382073298444617,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@daika_comores La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez..."
309,1816382189015044242,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@VigneDe La messagerie privée X n’est plus disponible, et nous en sommes désolés VigneDe. \n\nRetrou..."
310,1816383202635747399,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Boyer71Fanzine La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'ave..."
311,1816383521608319356,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@tadupokpok La messagerie privée X n’est plus disponible, et nous en sommes désolés tadupokpok. \n\n..."
312,1816383665988862309,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@_Franck_Paris La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez..."
313,1816383938870366407,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@nach_mum La messagerie privée X n’est plus disponible, et nous en sommes désolés nach_mum. \n\nRetr..."
314,1816384110073421953,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@mathieukeny75 La messagerie privée X n’est plus disponible, et nous en sommes désolés mathieukeny75..."
315,1816384809825956065,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@uytgdblljgf La messagerie privée X n’est plus disponible, et nous en sommes désolés uytgdblljgf. \n..."
316,1816385357836874222,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Team_nJOY La messagerie privée X n’est plus disponible, et nous en sommes désolés Team_nJOY. \n\nRe..."
317,1816385463059382505,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@m_marchionni La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez ..."
318,1816385729389273253,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Dhebby1973 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pa..."
319,1816386758117859741,Freebox,Message automatique Freebox,Réponse automatique répétitive,@MonsieurOff Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\n...
320,1816387545460081027,Freebox,Message automatique Freebox,Réponse automatique répétitive,@PaperBloute Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\n...
321,1816388085099176172,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Alinolord Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
322,1816388434992193654,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@Tubbydev La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nRetrouvez-moi ..."
323,1816388787674460289,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Megiland Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
324,1816389715521675638,Freebox,Message automatique Freebox,Réponse automatique répétitive,@5atuurn_ Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
325,1816390133488259104,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Nan0uu77 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
326,1816390396806656413,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Clank_gk Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
327,1816390615233343977,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Stephanux40 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\n...
328,1816390829671346581,Freebox,Message automatique Freebox,Réponse automatique répétitive,@michaeltartar Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n...
329,1816391001860157656,Freebox,Message automatique Freebox,Réponse automatique répétitive,@KingKamui16 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\nL'...
330,1816391098983465278,Freebox,Message automatique Freebox,Réponse automatique répétitive,@StefDark Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
331,1816391336825614359,Freebox,Message automatique Freebox,Réponse automatique répétitive,@MambaWolf_ Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nN...
332,1816391703432921391,Freebox,Message automatique Freebox,Réponse automatique répétitive,@ROLOONS Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNous...
333,1816392430977007644,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Jejeninho91 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\n...
334,1816392640952205390,Freebox,Message automatique Freebox,Réponse automatique répétitive,@GaelBresson Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\n...
335,1816392989108781213,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Vortex_Photo Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\...
336,1816393325764624856,Freebox,Message automatique Freebox,Réponse automatique répétitive,@LePatis799 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nN...
337,1816393570716168415,Freebox,Message automatique Freebox,Réponse automatique répétitive,@sebravoisier Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\...
338,1816393727633473578,Freebox,Message automatique Freebox,Réponse automatique répétitive,@oOSpaceCakeOo Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n...
339,1816394106341331034,Freebox,Message automatique Freebox,Réponse automatique répétitive,@mickeul16 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
340,1816394329679593738,Freebox,Message automatique Freebox,Réponse automatique répétitive,@FuckedUpMinded_ Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07....
341,1816394521736880200,Freebox,Message automatique Freebox,Réponse automatique répétitive,@VictorPivertOff Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07....
342,1816394684761018586,Freebox,Message automatique Freebox,Réponse automatique répétitive,@EmmanuelLazard Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\...
343,1816395269124010027,Freebox,Message automatique Freebox,Réponse automatique répétitive,@HellN_rocks Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\n...
344,1816395434387996880,Freebox,Message automatique Freebox,Réponse automatique répétitive,@EricKoeberle Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\...
345,1816395624683553032,Freebox,Message automatique Freebox,Réponse automatique répétitive,@atchworks Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
346,1816395965453963467,Freebox,Message automatique Freebox,Réponse automatique répétitive,@SuperAlexKidd Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n...
347,1816398830968946844,Freebox,Message automatique Freebox,Réponse automatique répétitive,@yohann_t33 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nN...
348,1816399642222874774,Freebox,Message automatique Freebox,Réponse automatique répétitive,@philinterdit Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\...
350,1816402883111186718,Freebox,Message automatique Freebox,Réponse automatique répétitive,@JayDeforges Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\n...
351,1816404183144136752,Freebox,Message automatique Freebox,Réponse automatique répétitive,@herv964 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNous...
352,1816405422133100626,Freebox,Message automatique Freebox,Réponse automatique répétitive,@ponyoacho Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
353,1816405688320450806,Freebox,Message automatique Freebox,Réponse automatique répétitive,@WillmenDk Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
354,1816406480402170222,Freebox,Message automatique Freebox,Réponse automatique répétitive,@didi69220159758 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07....
355,1816406703165833491,Freebox,Message automatique Freebox,Réponse automatique répétitive,@liyes_had Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
356,1816407275289936318,Freebox,Message automatique Freebox,Réponse automatique répétitive,@paslamoindrid Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n...
357,1816407591632670929,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@pik971 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nRetrouvez-moi dè..."
358,1816407832272449841,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Petite_Tulipe_ Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\...
359,1816408212482003436,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Vlegallic Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
360,1816408570092507592,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Talucinha Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
361,1816409900961952141,Freebox,Message automatique Freebox,Réponse automatique répétitive,@naya5413 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
362,1816410456740807039,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@3arrbi216 La messagerie privée X n’est plus disponible, et nous en sommes désolés 🇹🇳عماد🇵🇸. \n\nRet..."
363,1816410799667085552,Freebox,Message automatique Freebox,Réponse automatique répétitive,@cedrictw Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
364,1816411055469269325,Freebox,Message automatique Freebox,Réponse automatique répétitive,@LaurentLecomte8 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07....
365,1816411204639666528,Freebox,Message automatique Freebox,Réponse automatique répétitive,@CIohannC Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
366,1816411472571846973,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Aymeric978520 @sebravoisier @UniversFreebox Nous avons rencontré des perturbations sur notre réseau...
367,1816411878827921738,Freebox,Message automatique Freebox,Réponse automatique répétitive,@iF_batidoux_34 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\...
368,1816412092288606461,Freebox,Message automatique Freebox,Réponse automatique répétitive,@DeQuiSeMokeTon Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\...
369,1816412368840138825,Freebox,Message automatique Freebox,Réponse automatique répétitive,@whatizdiss Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nN...
370,1816412553402036282,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Pierrik2 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
371,1816412852275560750,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Brig__21 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNou...
372,1816413296095813710,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Fredaprilia Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\n...
373,1816414956562071559,Freebox,Message automatique Freebox,Réponse automatique répétitive,@__lucinda___ Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\...
374,1816415214675411165,Freebox,Message automatique Freebox,Réponse automatique répétitive,@c_csensei Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
375,1816415795393466712,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Acedu34 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNous...
376,1816416619322572941,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Tracksweb Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
377,1816418138608529784,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Jack_Arnaud94 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n...
378,1816418604969083186,Freebox,Message automatique Freebox,Réponse automatique répétitive,@So0609930698002 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07....
379,1816418947421335998,Freebox,Message automatique Freebox,Réponse automatique répétitive,@fleurdesiles272 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07....
380,1816419157170151802,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Il_YOUS Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNous...
381,1816419388649599051,Freebox,Message automatique Freebox,Réponse automatique répétitive,@LovFrenchFries Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\...
382,1816419936136269906,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@lesud65 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez pas e..."
383,1816420136451994100,Freebox,Message automatique Freebox,Réponse automatique répétitive,@OLPLAY_Officiel Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07....
384,1816420525142417757,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@yoshispower La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nVous n'avez p..."
385,1816420542167081168,Freebox,Message automatique Freebox,Réponse automatique répétitive,@BarakaSohaan Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\...
386,1816420721469366371,Freebox,Message automatique Freebox,Réponse automatique répétitive,@TendanceRap1 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\...
387,1816421071848976596,Freebox,Message automatique Freebox,Réponse automatique répétitive,@DenisAynie Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nN...
388,1816421270444970218,Freebox,Message automatique Freebox,Réponse automatique répétitive,@JonP26 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNous ...
389,1816424007106797633,Freebox,Message automatique Freebox,Réponse automatique répétitive,"@AlexiaMarmont La messagerie privée X n’est plus disponible, et nous en sommes désolés.\n\nRetrouvez..."
390,1816424234719011189,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Skyphal21 Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNo...
391,1816424467192488170,Freebox,Message automatique Freebox,Réponse automatique répétitive,@Kxnzyyy Nous avons rencontré des perturbations sur notre réseau en fin de journée du 19/07.\n\nNous...
