tweet_id,tweet,sentiment,thème,urgence,confiance
1814365932426539130,vous aussi vous êtes bloqués à l étape 6 avec votre freebox? panne free freebox,negatif,Panne Internet,2,0.8
1814365941045604823,"panne internet plus de , franceinfotv, chez",negatif,Panne Internet,2,0.8
1814366025778864287,bonjour pas de connexion ce soir sur ma box,negatif,Panne Internet,2,0.8
1814366189977583632,"oui pareil, apparemment il y a une panne",negatif,Panne Internet,2,0.8
1814366412007256112,bonjour free ! incidents en ce moment en fibre sur la france ? dans l herault ? béziers ? merci de votre réponse,neutre,Fibre,1,0.6
1814366416214048928,plus d internet depuis 45 mn ??,neutre,Autre,0,0.0
1814366706392863042,et sa continue maintenant internet freebox qui fonctionne plus merde,negatif,Panne Internet,3,0.8
1814367603932143955,"n freeboxultra pireboxdumonde ndéjà un débit pourrit, la tv qui freeze comme de l adsl et la carrément rien qui marche ce soir et pour prévenir de l incident ça ne marche pas non plus ndifficile de ne pas vs détester la",negatif,Débit Internet,3,0.8
1814367744072228929,n non est vendredi soir. je n ai plus aucune chaîne de télévision depuis une demi heure. aucun accès non plus à l assistance en ligne page d erreur ou par téléphone ne répond pas . n netonnamment ça commence à me gonfler.,negatif,Panne Internet,2,0.8
1814368111984029869,il y a une panne chez free ou quoi? ma box est bloqué à l étape 6,negatif,Panne Internet,2,0.8
1814368425491222821,help free plis d internet et impossible de vous joindre par téléphone,negatif,Panne Internet,2,0.8
1814368437122035989,encore en panne sur besançon mais c est quoi ce bordel depuis 2mois ???? n freebox free,negatif,Panne Internet,3,0.8
1814368731113324770,panne freebox probleme connexion,negatif,Panne Internet,2,0.8
1814368748637192638,en panne aussi,negatif,Panne Internet,1,0.7
